Date,Open,High,Low,Close,Volume,Adj Close
2014-08-14,438.17,438.43,436.59,437.62,115906900,437.62
2014-08-13,438.11,439.40,437.53,439.40,139077800,439.40
2014-08-12,438.23,438.23,435.74,436.52,157618500,436.52
2014-08-11,432.99,438.34,432.91,438.09,208510900,438.09
2014-08-08,428.99,430.40,426.58,429.93,164493700,429.93
2014-08-07,434.98,436.04,431.81,431.81,290698900,431.81
2014-08-06,439.75,439.75,434.03,434.82,343718900,434.82
2014-08-05,441.21,442.38,440.39,441.80,123588900,441.80
2014-08-04,442.20,442.95,439.98,440.16,110548000,440.16
2014-08-01,445.72,446.66,439.93,440.12,231316400,440.12
2014-07-31,452.08,452.08,445.63,446.05,247614100,446.05
2014-07-30,452.32,452.86,450.92,451.46,103679000,451.46
2014-07-29,453.28,453.77,451.74,452.02,76608100,452.02
2014-07-28,454.47,455.21,451.30,452.56,78081900,452.56
2014-07-25,453.92,455.26,453.07,453.79,85271500,453.79
2014-07-24,452.64,455.05,452.01,454.54,98740300,454.54
2014-07-23,451.60,453.31,451.35,452.43,110060200,452.43
2014-07-22,450.01,452.31,450.01,452.24,105643400,452.24
2014-07-21,450.28,450.55,446.96,448.24,104647300,448.24
2014-07-18,448.31,450.14,446.75,449.86,168761100,449.86
2014-07-17,452.02,452.17,448.11,448.11,132920500,448.11
2014-07-16,448.29,452.73,448.29,452.62,121497300,452.62
2014-07-15,451.42,451.74,446.33,447.38,108622000,447.38
2014-07-14,446.70,451.22,446.59,451.03,96253700,451.03
2014-07-11,444.52,446.58,443.28,444.86,89015000,444.86
2014-07-10,450.76,450.76,443.28,444.09,116472400,444.09
2014-07-09,452.33,452.77,450.04,450.83,80070800,450.83
2014-07-08,456.96,457.29,451.68,451.68,104831000,451.68
2014-07-07,457.86,458.92,456.34,456.56,98135000,456.56
2014-07-04,460.09,460.34,457.92,457.92,91859800,457.92
2014-07-03,453.56,460.15,453.56,460.15,141296200,460.15
2014-07-02,451.62,453.25,451.62,452.74,98164500,452.74
2014-07-01,449.32,451.19,447.94,451.19,101705800,451.19
2014-06-30,449.73,450.89,448.48,449.01,108563800,449.01
2014-06-27,447.68,449.13,447.14,449.13,118276600,449.13
2014-06-26,448.79,449.36,446.13,447.00,119833300,447.00
2014-06-25,452.60,452.60,447.02,448.59,128888100,448.59
2014-06-24,453.69,454.40,452.63,454.25,121511600,454.25
2014-06-23,451.32,453.86,449.21,453.27,112189000,453.27
2014-06-19,450.13,451.57,449.15,450.18,127819900,450.18
2014-06-18,449.36,450.07,447.53,447.53,120479200,447.53
2014-06-17,448.72,450.41,447.47,448.63,112051100,448.63
2014-06-16,451.14,452.27,447.65,448.34,129575100,448.34
2014-06-13,454.65,454.65,449.67,451.91,115720400,451.91
2014-06-12,455.64,456.04,454.25,454.82,111293600,454.82
2014-06-11,457.73,458.03,454.66,455.16,122202600,455.16
2014-06-10,456.10,457.24,455.97,457.13,122087200,457.13
2014-06-09,456.51,457.33,455.78,457.33,127235000,457.33
2014-06-05,454.18,455.03,452.39,452.56,138447900,452.56
2014-06-04,453.28,454.75,452.94,454.66,109004800,454.66
2014-06-03,455.56,455.56,452.93,454.03,116911600,454.03
2014-06-02,457.00,457.00,455.03,455.39,136608500,455.39
2014-05-30,453.49,456.38,453.49,455.66,150850900,455.66
2014-05-28,454.17,454.17,452.14,453.50,70312700,453.50
2014-05-27,453.18,455.08,451.82,453.92,108031700,453.92
2014-05-26,453.43,454.04,452.95,453.19,90493500,453.19
2014-05-23,451.17,452.37,449.52,452.37,123010700,452.37
2014-05-22,450.66,451.67,449.84,451.20,137678600,451.20
2014-05-21,448.25,450.78,446.91,450.01,128235000,450.01
2014-05-20,448.96,449.84,448.80,448.88,147141400,448.88
2014-05-19,447.63,449.24,446.02,448.65,142835400,448.65
2014-05-16,449.46,450.03,447.28,448.53,138804200,448.53
2014-05-15,449.78,451.21,447.91,450.63,212547900,450.63
2014-05-14,447.35,448.69,446.87,448.69,160399400,448.69
2014-05-13,447.00,448.28,446.99,448.28,159261000,448.28
2014-05-12,443.10,446.09,443.10,446.09,152682300,446.09
2014-05-09,441.89,442.29,440.97,442.09,160227900,442.09
2014-05-08,438.55,442.27,438.55,442.27,175972200,442.27
2014-05-07,438.71,439.92,437.40,437.73,165545300,437.73
2014-05-06,442.57,443.46,439.69,440.66,168167100,440.66
2014-05-05,441.75,443.11,438.69,441.79,114464900,441.79
2014-05-02,443.87,443.98,441.71,442.30,157559200,442.30
2014-04-30,442.01,443.24,441.95,442.53,119658100,442.53
2014-04-29,440.46,443.82,440.46,443.82,205631300,443.82
2014-04-28,442.21,442.69,438.87,439.95,155942500,439.95
2014-04-25,441.14,442.62,440.16,440.81,172485700,440.81
2014-04-24,440.03,443.04,437.89,441.69,196554700,441.69
2014-04-23,440.41,440.56,437.74,437.91,184149900,437.91
2014-04-22,437.64,441.90,437.64,441.90,153002600,441.90
2014-04-17,433.99,434.51,432.71,433.57,68074900,433.57
2014-04-16,431.61,433.36,431.60,433.36,115688600,433.36
2014-04-15,435.06,435.83,428.94,429.03,138471600,429.03
2014-04-14,431.76,434.80,429.84,434.56,141121000,434.56
2014-04-11,436.11,436.21,430.44,434.44,185865800,434.44
2014-04-10,443.45,443.80,439.05,439.05,171826600,439.05
2014-04-09,440.45,442.61,440.45,441.72,171307300,441.72
2014-04-08,439.75,440.81,436.56,439.38,166990600,439.38
2014-04-07,440.47,440.93,438.81,439.25,138312000,439.25
2014-04-04,441.71,444.83,441.71,443.09,134260900,443.09
2014-04-03,443.34,443.71,441.88,442.08,149070800,442.08
2014-04-02,444.39,445.61,443.28,444.40,173879300,444.40
2014-04-01,441.04,443.91,441.04,443.55,154261700,443.55
2014-03-31,435.77,440.30,435.70,440.30,145486400,440.30
2014-03-28,433.82,435.19,433.37,434.48,135315100,434.48
2014-03-27,432.83,433.28,431.69,432.75,153134100,432.75
2014-03-26,434.75,437.40,434.67,435.18,187467500,435.18
2014-03-25,430.18,434.36,430.18,434.32,177841900,434.32
